x-axis,1,2,F1
second,Volt,Volt,Volt
-18.77500E-03,+552.76381E-03,+532.66331E-03,+40.22217E-03
-18.75000E-03,+603.01507E-03,+582.91457E-03,+61.04E-06
-18.72500E-03,+592.96482E-03,+532.66331E-03,+30.18188E-03
-18.70000E-03,+603.01507E-03,+562.81406E-03,+80.38330E-03
-18.67500E-03,+603.01507E-03,+562.81406E-03,+40.22217E-03
-18.65000E-03,+603.01507E-03,+582.91457E-03,+40.22217E-03
-18.62500E-03,+643.21607E-03,+562.81406E-03,+70.34302E-03
-18.60000E-03,+603.01507E-03,+562.81406E-03,+80.38330E-03
-18.57500E-03,+653.26632E-03,+562.81406E-03,+80.38330E-03
-18.55000E-03,+683.41708E-03,+582.91457E-03,+100.46387E-03
-18.52500E-03,+683.41708E-03,+603.01507E-03,+120.54443E-03
-18.50000E-03,+723.61808E-03,+562.81406E-03,+120.54443E-03
-18.47500E-03,+693.46733E-03,+603.01507E-03,+130.58472E-03
-18.45000E-03,+723.61808E-03,+603.01507E-03,+120.54443E-03
-18.42500E-03,+733.66833E-03,+603.01507E-03,+150.66528E-03
-18.40000E-03,+723.61808E-03,+603.01507E-03,+160.70557E-03
-18.37500E-03,+773.86934E-03,+603.01507E-03,+170.74585E-03
-18.35000E-03,+783.91959E-03,+603.01507E-03,+160.70557E-03
-18.32500E-03,+804.02009E-03,+603.01507E-03,+160.70557E-03
-18.30000E-03,+804.02009E-03,+603.01507E-03,+160.70557E-03
-18.27500E-03,+834.17085E-03,+603.01507E-03,+210.90698E-03
-18.25000E-03,+844.22110E-03,+603.01507E-03,+200.86670E-03
-18.22500E-03,+804.02009E-03,+633.16582E-03,+200.86670E-03
-18.20000E-03,+844.22110E-03,+603.01507E-03,+241.02783E-03
-18.17500E-03,+854.27135E-03,+633.16582E-03,+210.90698E-03
-18.15000E-03,+884.42210E-03,+603.01507E-03,+261.10840E-03
-18.12500E-03,+884.42210E-03,+633.16582E-03,+281.18896E-03
-18.10000E-03,+884.42210E-03,+643.21607E-03,+281.18896E-03
-18.07500E-03,+924.62311E-03,+643.21607E-03,+281.18896E-03
-18.05000E-03,+924.62311E-03,+643.21607E-03,+301.26953E-03
-18.02500E-03,+954.77386E-03,+633.16582E-03,+291.22925E-03
-18.00000E-03,+964.82411E-03,+643.21607E-03,+281.18896E-03
-17.97500E-03,+1.00502511E+00,+613.06532E-03,+361.51123E-03
-17.95000E-03,+964.82411E-03,+623.11557E-03,+341.43066E-03
-17.92500E-03,+964.82411E-03,+643.21607E-03,+321.35010E-03
-17.90000E-03,+1.00502511E+00,+643.21607E-03,+361.51123E-03
-17.87500E-03,+1.00502511E+00,+633.16582E-03,+371.55151E-03
-17.85000E-03,+1.04522612E+00,+663.31658E-03,+381.59180E-03
-17.82500E-03,+1.04522612E+00,+643.21607E-03,+361.51123E-03
-17.80000E-03,+1.04522612E+00,+643.21607E-03,+401.67236E-03
-17.77500E-03,+1.06532662E+00,+643.21607E-03,+411.71265E-03
-17.75000E-03,+1.06532662E+00,+643.21607E-03,+421.75293E-03
-17.72500E-03,+1.12562813E+00,+613.06532E-03,+441.83350E-03
-17.70000E-03,+1.08542712E+00,+643.21607E-03,+441.83350E-03
-17.67500E-03,+1.12562813E+00,+643.21607E-03,+451.87378E-03
